1,0,0,0,1,2
2,0,0,0,2,1
4,0,0,0,2,3
3,0,0,0,2,2
5,1,0,1,4,1
6,1,0,1,5,3
7,1,0,1,6,3
8,1,0,1,8,1
9,1,0,1,8,3
10,1,0,1,10,1
11,1,0,1,10,2
12,1,0,1,11,1
13,1,0,1,11,2
14,1,0,2,4,1
15,1,0,2,4,2
16,1,0,2,4,3
17,1,0,2,9,1
18,1,0,2,9,2
19,1,0,2,10,3
20,1,0,3,4,2
21,1,0,3,4,3
22,1,0,3,5,1
23,1,0,3,5,2
24,1,0,3,9,1
25,1,0,3,9,3
26,1,0,3,10,2
27,1,0,3,11,1
28,1,0,3,11,3
29,2,4,5,4,7
30,2,4,5,10,6
31,2,4,6,5,9
32,2,4,6,7,5
33,2,4,6,10,9
34,2,4,7,4,9
35,2,4,7,5,6
36,2,4,8,7,11
37,2,4,8,10,10
38,2,4,9,6,5
39,2,4,9,6,8
40,2,4,10,11,8
41,2,4,11,7,10
42,2,4,11,8,6
43,2,5,5,5,8
44,2,5,5,11,10
45,2,5,6,10,10
46,2,5,7,5,10
47,2,5,7,6,9
48,2,5,8,6,6
49,2,5,9,6,6
50,2,5,9,8,11
51,2,5,11,8,7
52,2,6,6,8,11
53,2,6,7,8,7
54,2,6,7,11,7
55,2,6,8,7,9
56,2,6,9,10,7
57,2,6,10,7,8
58,2,7,8,9,11
59,2,7,9,10,11
60,2,7,10,10,8
61,2,7,10,11,11
62,2,7,11,9,8
63,2,7,11,9,9
64,2,8,8,9,11
