1,2,2,15,15,2
10,1,12,15,12,0
11,1,12,2,20,0
12,1,0,19,15,12
13,1,12,0,21,2
14,0,19,21,0,0
15,1,0,20,15,21
16,1,2,12,0,20
17,1,21,0,21,2
18,1,12,15,20,0
19,2,15,2,15,2
2,2,2,15,2,15
20,1,0,12,15,21
21,1,15,12,0,20
22,1,20,2,19,0
23,1,15,20,0,21
24,2,15,15,2,2
25,1,19,15,20,0
26,0,0,19,19,0
27,2,15,2,2,2
28,1,0,21,15,19
29,2,6,6,2,2
3,2,2,15,2,6
30,2,15,15,6,15
31,1,21,0,12,2
32,2,15,15,15,2
33,2,15,15,6,2
34,0,0,21,20,0
35,2,15,2,15,15
36,0,0,0,19,19
4,2,2,15,15,6
5,2,2,15,2,6
6,2,2,2,15,6
7,1,15,19,0,20
8,2,2,15,15,2
9,2,15,2,2,2
